Course name,Instructor,Course_Difficulty,Time_Commitment_Required,Attendance_Policy,Pre_requisites,Evaluation_Scheme,Topics_Covered,Teaching_Style,Tutorials_Assignments_Projects,Feedback_on_Exams,Course_Importance,References_Used,When_to_take_course
ME219 - Fluid Mechanics,Atul Sharma,Course content was moderate in difficult but professorâ€™s teaching made it more confusing and difficult to cope up with the pace of the course.,Pre-recorded video lectures were provided which consumed approx. 2-3 hours per week. One discussion session(approx. 1 hr) was conducted for students to ask their doubts but was not compulsory.,No attendance policy in online semester.,Nothing as such is required as a pre-req.,,"Fluid statics, fluid dynamics-Navier-Stokes equation, flow in a pipe, flow over plate, losses",Used very poor slides and the teaching style was also not up to the mark. It made people lose interest in fluid mechanics.,,"Midsem- moderately heavy
 Endsem- difficult and time consuming",,,
ME219 - Fluid Mechanics,Abhilash J. Chandy,Easy to moderate,About 3 hours/week (apart from classes),No mandatory attendance but attendance was noted for records (or grade consideration for students missing a grade very close to cutoff),No prerequisites,"Quizzes - 25% (weekly quizzes, best of (n-1))
 Midsem exam - 30%
 Endsem exam - 45%","Basic definitions, hydrostatics, fluid kinematics, integral & differential approach to solve fluid equations, dimensional analysis, Internal flows, external flows, compressible flows",Teaching aligns with the slides but blackboard problem /equation solving and classroom discussions are important. Teaching is slightly mathematical based and lesser concept based with just the right pace. Lectures are exhaustive and everything is explained well.,,"Quizzes are short and mostly easy
 Midsem is easy and based on basic understanding
 Endsem was moderate on difficulty. All topics were covered.",,Understanding the concepts is the key to scoring well in this course. Frequent evaluations will automatically maintain regularity.,
ME209 - Thermodynamics,Shivasubraniam Gopalakrishnan,Course was not very difficult. It is easy to follow if you have a good grip on thermodynamics from JEE.,Low-Medium. Staying regular with lectures helps,None,JEE thermodynamics,"10% HWs
 25% quiz1/midsem
 25% quiz 2
 40% endsem","â€¢ Basic concepts and definitions the work interaction
 â€¢ The first law, energy and the heat interaction
 â€¢ The zeroth law, temperature and scales of temperature
 â€¢ Properties of gases and liquids, equations of state
 â€¢ The second law, thermodynamic temperature scales and entropy
 â€¢ Relations between properties
 â€¢ Open thermodynamic systems",Youtube links to lectures were given and doubt sessions were conducted once a week during class hours.,Assignments were medium level. Few were given but took time to solve.,"All exams were alike. 40% easy, 40% medium, maybe 1 hard question and 1 question which would require reasoning and out of the box thinking.",,CDEEP lectures by Prof. Gaitonde,
ME209 - Thermodynamics,Bhalchandra Puranik,Moderately difficult (builds on JEE-level thermodynamics),"The initial part of the course is easy to cope up with, without much extra effort although the latter half becomes a little involved. It is required to understand the concepts well through extensive problem solving so as to understand the different types of questions. The question sheets are a good place to practice different types of questions from and the instructor also solves the common doubts. Emphasis on the latter half of the portion (involving the second law of thermodynamics) would help to score better. A few hours per week of self study would be good enough, but again this varies from person to person",None,None. Extremely fundamental course. Starts from scratch. Serves as a starter to what comes next in Mechanical Engineering,"Quizzes (Best 3 out of 4; 15% each) : 45%
 Semester Assignment : 15%
 Midsem : not conducted
 Endsem : 40%","â€¢ Basic concepts and definitions the work interaction
 â€¢ The first law, energy and the heat interaction
 â€¢ The zeroth law, temperature and scales of temperature
 â€¢ Properties of gases and liquids, equations of state
 â€¢ The second law, thermodynamic temperature scales and entropy
 â€¢ Relations between properties
 â€¢ Open thermodynamic systems","The professor provided a Youtube playlist of Thermodynamics videos by Prof. Gaitonde (an ex-IITB professor) and assigned a certain number of videos, that were to be watched every week. The batch was divided into two groups, and every group was assigned one day in a week (either Monday or Tuesday depending upon the group) on which they could come and discuss the concepts and doubts that they may have after watching the previous weekâ€™s videos. Every Thursday, the professor would keep a common doubt clearing session (during the lecture slot) for both groups in case someone wished to join in and get something clarified. Apart from this, there were question sheets attached to Prof. Gaitondeâ€™s resource as well, which the professor would give us as assignments/HWs. He would also take up some of the tricky questions during the lectures/sessions.","The question sheets comprised of a good number of questions and had all types - easy ones, lengthy ones, some difficult ones etc. Served as good practice material, which is essential in this course. The solutions/procedure were also either discussed by the professor in the sessions or made available by the TAs, so one could always cross-check. Although it is advised that one should solve the questions and try it once, before looking up the solutions or taking any sort of help.","The exams were often on the trickier and lengthier side, with most questions consuming a fair amount of time owing to their length along with the thinking involved to solve them. No questions were absolutely straightforward although there were a handful of easy ones as well in every paper. This applies for both the quizzes as well as the endsem. All the exams were predominantly subjective-type. Having done a good amount of question-practice would benefit","This course is a base for all topics in Thermal-Fluid engineering and hence it is very essential for research in similar fields. It is a prerequisite for the third year core course - Applied Thermodynamics (ME 306) and in general, the ideal starter for Mechanical Engineering!","CDEEP Lectures by Prof. Gaitonde
 Fundamentals of Engineering Thermodynamics by Moran and Shapiro was the reference book the professor recommended",
ME206 - Manufacturing Processes 1,Ramesh K Singh,Course was easy to understand if paid attention in class. Slides were annotated which helped during exams. Professor put in efforts in explaining the concepts well which made the course easy to follow.,3 hours per week for lectures + biweekly assignments with 10 days as deadline.,No attendance policy in online semester,Knowledge of the content of ME221 really helped understand the course better. As such there is no prerequisite,,"Casting, Rolling, Forging, Extrusion, Drawing, Joining processes, Sheet metal forming",,,"All the exams were open book and were directly from slides and similar questions from tutorials for all quizzes, midsem and endsem.",Course is important for the people who want to go into manufacturing. It gives the width and depth to some extent to be able to judge personal interests. This course is also important as this is a predecessor to Man Pro 2.,,
ME206 - Manufacturing Processes 1,Rakesh G Mote,"Not a very difficult course as long as you follow the slides, listen to what sir explains in class, and solve his question bank for each chapter.",Basic revision before class helps to understand the topic better,None,None,,"Casting, Joining (welding), Bulk deformation, rolling, drawing, extrusion, polymer processing",,"Practice problems provided
 Term project needs to be done, to be submitted after endsem","Quizzes were objective, taken after the end of every topic.
 Midsem and Endsem were subjective",Very important for Manufacturing as well as from Material Science point of view,Mikell P. Groover- Fundamentals of Modern Manufacturing,
ME206 - Manufacturing Processes 1,Pradeep Dixit,Moderately easy,"Not much apart from lectures, reviewing the content a day or two before the exams would suffice",Attendance wasnâ€™t compulsory,"None, although some ideas from ME221 were carried forward","Since the semester was truncated, the modified weightages werenâ€™t disclosed. The main components, however were:
 3 quizzes
 3 assignments
 Midsem
 Project","Casting processes: dispensable and permanent mould processes; analysis of melting, pouring and solidification phenomena; design of pattern, core, feeder and gating system; casting defects and inspection. Joining processes: fusion and solid-state welding; brazing and soldering; weld joint design, cooling rate, and joint properties; welding defects and inspection. Bulk and Sheet Forming processes: rolling, forging, extrusion and drawing; sheet metal working; forming limit diagram; loads, friction and lubrication; forming defects and inspection. Powder processing: Powder manufacture, characterization, compaction and sintering; metal injection moulding; hot and cold isostatic pressing. Polymers and Composites: Thermoplastics, thermosets, elastomers and composites; related processes; injection mould design; moulding defects and inspection. Advanced processes: Free form fabrication (rapid prototyping), and net shape manufacturing processes.","Live lectures were conducted and slides were provided. The slides were typically very long with loads of content - about 80 slides per lecture and 10 lectures till a week after midsems. The professor would typically read the slides and paraphrase them briefly, so lectures were not very interesting.","Assignments were typically questions from old GATE papers and would be highly numerical.
 The project was simulation-based, wherein we had to (in groups of 3) simulate the casting of two objects of choice on the E-Foundry online platform. Certain calculations had to performed based on the simulation.","Quizzes were a mixture of objective-type questions (with negative marking) and long subjective questions.
 The midsem had 40% theory questions, wherein one was expected to have memorized the contents of the slides to a good extent. Some questions were outside the slides as well. The remaining part of the midsem was a series of long arduous calculation-heavy questions.
 While grading subjective questions, a large proportion of the weightage was assigned to the final correct answer, so a small mistake could lead to getting 0 out of 6/8 mark questions.","ME206 is essential for the immediate follow-up ME338, another core course. The two of these then come in handy during ME374, the Manufacturing Processes Lab.","Manufacturing Science by Amitabha Ghosh (several obscure formulae and definitions would come up in the exams, straight out of this book)
 Manufacturing Engineering and Technology by Kalpakjian and Schmid",
ME202 - Strength of Materials,Salil Kulkarni,"The course was a continuation of ME201 and so its difficulty was directly proportional to oneâ€™s expertise in ME201. For me, I found ME202 to be between easy and moderate.",3 hours of lecture per week was mandatory + additional 1 hour per week to excel in the course,No attendance policy in online semester,ME201,,"Torsion, Bending, Combined loading, Deflections, Buckling, Energy methods",Teaching style was good. The professor was keen on having in class discussions. Tutorial were kept in class hours and had to be submitted on the same day.,,"Quizzes were fairly simple and based on tutorials
 Midsem was moderate
 Endsem was also moderate but time taking",,"Mechanics of Materials, Hibbeler",
ME202 - Strength of Materials,Amit Singh,"Moderate. 
 Itâ€™s a basic course that builds upon the topics taught in ME 201",Attending all the lectures and solving the homework problems provided a good way to keep track of the course. Around 6-7 hourse per week on an average (including the lectures of course),"There was no attendance policy. However, there was a weekly quiz which counted towards the grades","ME201 is a pre requisite, but the professor explained the topics briefly anyway.","Quizzes: 20%
 Homework: 20%
 MidSem: 25%
 EndSem: 35%","Shear Stresses in Beams, Torsion of circular rods, Axisymmetric problems, Deflections in beams, Unsymmetrical bending of straight beams, Shear stresses in thin walled beams, Torsion in thin walled beams, Stresses and deflections in initially curved bars, Energy Methods (including PVW, Castiglianoâ€™s theorems), Elastic instability and buckling of beams","The course was fairly straightforward, with a very well defined structure. Three hours of lectures + 1 quiz + 1 homework assignment per week. 
 The professor ensured that every topic was covered right from the basics, and the classes were very well paced. In some cases where a topic might have required some prerequisite knowledge, ample time was usually present to catch up. Every lecture began with a nice recap, and the problems presented in the class were well structured. The slides provided were pretty exhaustive and the professor did not really go for the most stringent proctoring policies during the exams. Overall, this is a fundamental course which went pretty smoothly.",The homework problems were pretty exhaustive and they really helped with the course and provided weekly feedback regarding our progress,"The quizzes were fairly simple and straightforward.
 The midsems and endsems had a healthy mix of questions requiring direct application of things taught in the class and a few questions which required us to think on our own",Itâ€™s fairy important as it forms a base for a lot of advanced courses and concepts in solid mechanics. It gives theoretical as well as application skills for the same.,"1) S.H. Crandell, M.C. Dahl and S.J. Lardner. An Introduction to the Mechanics of Solids, McGraw Hill Education (India) Private Limited, Third Edition, 2012.
 2) James M Gere; Barry J Goodno. Mechanics of materials, Cl-Engineering, 9th edition, 2017",
ME201 - Solid Mechanics,Parag Tandaiya,Moderate (builds on JEE-level mechanics and some concepts from Mechâ€™s DIC - CE 102),"Quite manageable. Being attentive in the lectures and attending tutorials does more than half of your job. In addition to that, spending a few hours (say over the weekend) quickly revising and practicing some questions on the concepts being taught is sufficient. Then itâ€™s just all about brushing up the concepts and formulae before the exams","Lectures were not compulsory to attend. There were weekly tutorials which had a weightage of close to 1% per tutorial sheet. So itâ€™s always a good idea to attend these tutorials else you lose out on the 10% (weightage of tutorials). No compulsions otherwise, with respect to attendance.",None as such. Having done CE 102 obviously helps. But the professor anyway gives a recap of necessary topics from CE 102 for people who havenâ€™t done the course,"Quizzes (4 of them) : 30%
 Tutorials (9 in total) : 10%
 Assignments (3 in total) : 20%
 Midsem : not conducted 
 Endsem : 40%","The professor used his already-prepared handwritten notes, and then explained all of it during the lectures. He also used to make annotations and write stuff during the lectures for the benefit of our understanding, it was not just verbal explanation. Prof. Parag maintains a decent pace, so itâ€™s easy to keep up, but at the same time itâ€™s easy to lose track if you miss a lot of lectures. He simplifies things well, and is open to doubts so thatâ€™s always a plus. The TAs take the tutorial sessions and are also quite helpful in clearing doubts that students may have. So making good use of these lectures and tutorials especially, is advised.","The professor used his already-prepared handwritten notes, and then explained all of it during the lectures. He also used to make annotations and write stuff during the lectures for the benefit of our understanding, it was not just verbal explanation. Prof. Parag maintains a decent pace, so itâ€™s easy to keep up, but at the same time itâ€™s easy to lose track if you miss a lot of lectures. He simplifies things well, and is open to doubts so thatâ€™s always a plus. The TAs take the tutorial sessions and are also quite helpful in clearing doubts that students may have. So making good use of these lectures and tutorials especially, is advised.","Tutorial sessions were held every week. Small groups with every group having a TA were formed. A tutorial sheet was handed to the students to solve during the session. Doubts could be asked, discussions were allowed. TAs kept giving hints from time-to-time and always helped out in case anyone faced issues. Itâ€™s not like an exam, the one and the only objective of the tutorial is that you learn how to solve the given questions and are able to apply the concepts. At the end of the session, the answers were to be scanned and submitted, which were then corrected by the TAs. Every tutorial had close to 1% weightage, which was given on the basis of these answers. P.S. The 10% assigned to tutorials is actually quite easy to get, given the fact that we can take help from TAs and discuss things.","Questions are asked from what is covered during the lectures and tutorials, so for someone who is thorough with these, youâ€™re fairly well prepared for the exams. 
 All quizzes and the endsem were subjective-type. For the quizzes, being thorough with the lecture materials and tutorial/practice sheets is good enough. For the endsem too, this is more or less thatâ€™s needed. Having practiced a good number of questions is also important, especially for the endsem, so that you are in the flow of solving problems.","It is a prerequisite for the core course ME 202 (Strength of Materials), which runs in the spring semester. ME 202 builds on the concepts of ME 201 and itâ€™s very difficult to perform well in it without a strong grasp of the concepts from ME 201. ME 201 builds the foundation for many advanced topics in Solid Mechanics and hence it is very essential for research in fields like finite element method(FEM).",An Introduction to the Mechanics of Solids by Stephen H. Crandall was the primary textbook.,
ME201 - Solid Mechanics,Krishna Jonnalagada,Difficulty can be broken down in 2 parts,"On an average, other courses took less time compared to this. Mostly due to complicated concepts in the latter half","No attendance policy in normal lecture, tutorial have 10% weightage though",None,"Best 5 out of 6 quizzes of 10% each,
 Best n-1 out of n tutorials such that their total weightage is 10%
 End Sems for 40 marks","Fundamentals of mechanics of deformable solids. Concepts of stress and strain and their relationships. Fatigue and thermal stresses, creep. Equilibrium equations, strain displacement relation. Combined stresses, Mohr s circle diagram for stress and strain rosettes. Simple beams, bending moments, shear forces and stresses in beams. Torsion,","Lectures and tutorial. I attended only 2 courses regularly in my third sem, this was one of them. Instructor is engaging","Tutorials are easy to get full in, you can take help from TAs or friends","Quizzes - Moderate to challenging
 End semesters - Extremely Challenging, please study before this",,,
MA214 - Numerical Analysis,Saikat Mazumdar,"Course was easy to understand but as the exams were not open notes, we had to remember many relations which made it tough. It being an online semester, we had no subjective papers, and objective papers were tougher to score in.",An hour or two to go through the weekly tutorials,None,None needed,,"Interpolation by polynomials, divided differences, error of the interpolating polynomial, piecewise linear and cubic spline interpolation. 
 Numerical integration, composite rules, error formulae. 
 Solution of a system of linear equations, implementation of Gaussian elimination and Gauss-seidel methods, LU factorization Choleskyâ€™s method, ill-conditioning, norms. 
 Solution of a nonlinear equation, bisection and secant methods. 
 Newtonâ€™s method, rate of convergence, solution of a system of nonlinear equations, numerical solution of ordinary differential equations, Euler and Runge-Kutta methods, multi-step methods,",Slides were informative and sufficient. Doubts would be cleared in class pretty well.,Tutorials had good difficulty and must be tried once before each tutorial session. No assignments and projects.,"All exams had the same objective style with different weightage.
 Quizzes were short in terms of number of questions and time limit. Midsem had paper 1 and paper 2, the same with Endsem.",Very important as numerical analysis is needed for any basic implementation and is used in every field.,"e.suli, d.mayers An Introduction to Numerical Analysis
 k.e.atkinson An Introduction to Numerical Analysis",
HS200 - Environmental Studies,"Krishnan Narayanan, Ratikanta Panda, Raile Ziipao","Purely from the content perspective, one of the easiest and highly non-technical courses in the institute. Provides a very interesting and inter-disciplinary take at the environmental crisis.",Nothing except reading the slides a couple of days before the exam.,None,HS101 would be a prerequisite,Just the final exam,"Economics (Krishnan Narayanan): Economy-environment linkages, micro-economic as well as macro-economic issues pertaining to the environment, development strategies, environmental policy, operationalising sustainable development, eco-domestic product, approaches to economic-ecological modelling, economic instruments for environmental protection (charges, taxes, subsidies, liability rules, performance bonds etc.), asymmetric information and moral hazard","A mix of recorded videos and live sessions.
 Classes werenâ€™t that useful for economics or philosophy since the professors would either read the slides or go off on a tangent. For sociology however, the slides were insufficient, so it was important to have gone through the lectures before the exam.",,"The endsem was a 50 MCQ exam, with 2 hours provided. Questions were picked out from the slides, but were often worded in a very tricky manner, especially for the sociology part.
 This caused very few students to score above 40.
 Several questions, however, were picked straight off the endsem paper of the previous half-semester offering, so it may be a good idea to look at past papers.",,"For the sociology part, the professor provides some recommended reading. A question or two can be expected from there.",
HS101 - Economics,"Tara Shankar Shaw,Puja Padhi","The premidsem part was of microeconomics while post midsem part was of macroeconomics. Neither of the parts had very complex concepts, following the lectures/learning from the reference book was quite easy.",There were 3 lectures of 1 hour every week for Prof. Shaw. No extra effort was required apart from watching the lectures. (One could skip the lectures as well and simply read the ref. book Mankiw for both parts which covered majority of the course curriculum),There was no mandatory attendance.,None. Some knowledge of finance/current affairs/economics would be a bonus as it would help you to connect the topics better.,"Microeconomics :
 20 mark quiz worth 10% of course
 40 mark quiz worth 40% of course
 Macroeconomics:
 15 mark quiz worth 15%
 35 mark quiz worth 35%","The first half (microeconomics) started from the basic principles of economics, mainly covered concepts of supply and demand, invisible hand, and focused on decisions of individual firms. Production, competitive markets, monopolies were covered. A fairly quantitative rather than qualitative approach was taken in the entire course. In macroeconomics, supply and demand of market as a whole was studied as opposed to that of a single firm. Measuring national income (GDP, GNP etc.), cost of living (CPI, WPI), inflation, the monetary system, basic tools of finance were the main topics covered.","3 lectures of 1 hr every week were taken by Prof. Shaw. At the end, some recorded videos were also posted to complete the curriculum. The prof encouraged discussion in the class even if it wasnâ€™t strictly a part of the syllabus. Overall everything was taught very well by him.
 Most lectures of Prof. Puja Padhi ended in 30-35 minutes. Too much terminology was introduced in the first few lectures which was difficult to follow. Slides were also not very useful and prof herself mentioned that the reference book was more important. There wasnâ€™t a lot of discussion in the lectures although the prof tried to encourage it. The last few topics were taught well.",There were none !,"Quiz 1 (Microeconomics) : Very straightforward, questions asked directly from lectures/reference book.","Although it doesnâ€™t help with future mech courses, it was a pretty interesting course. It gave me some insights into business decision making and some counterintuitive aspects of markets and economies.","For this course, Mankiwâ€™s books for both micro and macro are extremely useful. Personally, I relied more on the books than the lectures, as the books also deliver the content in an interesting format with lots of real life examples.
 For the micro exams, I would strongly suggest going through previous year exams and solutions.",
ES200 - Environmental Science,"Munish Kumar Chandel, Swatantra Pratap Singh, Virendra Sethi","The course is not very difficult, and easy to score well in by being regular with the classes. The professors discuss the question banks in class in great detail, and most of the questions are directly from them or are derivatives of them. For this course, there is definitely some mugging up to do, and itâ€™s not a big deal if you have been following the course but is quite difficult and tedious if you are looking at the syllabus just before the examination.",3-5 hours per week,,No prerequisites at all,"Module A - Air Quality (34%): 
  Homeworks (2) - 14%
  Endsem - 20%","Air Quality: Pollution standards, diseases, non-containment cities, dispersion models",,"AQ assignments were stimulating and required research. The first assignment required us to watch two movies of opposing views on global warming, and we had to turn in a critical review / essay discuss our views and the movies. The second assignment required us to analyze an air quality situation in our hometown, and come up with a plan to deal with it using the allocated budget.","The final exams of all three modules were of moderate difficulty. The numerical questions from AQ module or the guesstimate question from the MSW module were fairly simple to answer. The other questions were mostly directly from the slide, or were result of direct class discussion from the question banks shared for each module.","The concepts taught in this course, raise awareness about important environmental issues, how they affect us, and the methods and shortcomings of the current management process. It is of great importance for the future generation of leaders and decision makers to be aware of such issues, and consider them as a significant factor of influence while taking actions that can affect the environment and the populaceâ€™s long-term well-being.",,
CE102 - Engineering Mechanics,Prof. Mandar M. Inamdar,Moderate (builds on JEE-level Mechanics),"The initial half of the course is comparatively easy as it involves just the revision of JEE stuff. In the second half though, you will get to learn new (and interesting) concepts. Overall the course tests your problem solving skills, so once you have read the topic, performance boils down to problem solving. Solving the tutorial sets and the additional problems (provided by the instructor) would suffice. So if one is attentive in the class and attends the tutorial sessions regularly then two hours per week would help you sail through the course easily.","80% attendance compulsory, else DX grade",None. It builds the foundation for the third sem core course - Solid Mechanics,,"Introduction and Fundamentals of Mechanics, Equilibrium of 2D and 3D systems, Truss, Friction, Methods of Virtual Work(youâ€™ll surely love this) and Potential Energy, Vibrations.",,,,,,
MM207 - Engineering Metallurgy,Prof. Parag Bhargava,"Moderate to difficult course. 
 Reason for the categorisation: the course is very interesting but attending classes regularly and following the professor carefully becomes almost essential to score good in the course, lack of good slides is also a reason. Alternatively you can follow the book William Callisterâ€™s Material Science and Engineering, but even after sincerely doing all of that you canâ€™t be assured of a good grade, thatâ€™s what makes this course difficult. Iâ€™ll cover more about the examination a little later in the review.","Not very time-consuming if you have attended the lectures and sincerely paid attention, even the project is performed in groups of around 10 members which eases off the load from individual members. But without attending lectures, the course may become very demanding before examinations.","Attendance was not mandatory, but for this specific course, very important",None,,To be updated,,,,,,
ME221 - Structural Materials,Alankar Alankar,"The course was quite theoretical and had a lot of terms which one had to know. However, the numericals were fairly straightforward. A lot of emphasis was given to graphs and diagrams, so it might get confusing. In terms of the theory, the content was easy to follow and was (mostly) directly taken from the reference book.",The time taken would be around 2 hours of self study if one does not want to be piled up with lots of reading material at the end.,No attendance policy,None,,"Sir used slides for his entire course, with some help from the blackboard for drawing certain diagrams.",,,,,,
ME219 - Fluid Mechanics,Prof. Rajneesh Bhardwaj,Moderate,"The initial 2-3 chapters out of a total 8 are easy to follow during class. It is useful to understand the slides in detail and get more clarity in the rest of the chapters. Sincerely preparing for the four quizzes (2 chapters per quiz) will easily help you cover the syllabus and be prepared for endsem. Tutorials are quite doable and you can expect much more difficult problems in exams. Slides and tutorials are sufficient to solve different types of questions but you may choose to refer additional material. On an average, a couple of hours per week are enough to perform well in exams.",70% mandatory,None,,"Introduction, Hydrostatics, Manometers, Buoyancy, Kinematics, Bernoulliâ€™s equation, Reynolds Transport Theorem, Continuity and Navier Stokes equations for different coordinate systems, Dimensional analysis and Similitude, Basics of Turbulence, Friction factor, Moody Chart, Losses in pipes, Boundary layer theory and relevant parameters, Velocity boundary layer, Blasius equation, Drag coefficient",,,,,,
ME219 - Fluid Mechanics,Prof. Arunkumar Sridharan,Moderate,,My section had no attendance policy.,,"(4 quizzes, 5% each), (tutorials, 10% overall), (midsem, 25%), (endsem, 45%)",,,,"The quizzes were entirely conceptual- with minimal calculation based questions. Most of the quizzes involved theoretical questions (definitions, proofs, true and false).
 As far as the midsem was concerned, it was lengthy so a lot of people did not have the time to go back and check their answers. More emphasis was given to numerical based questions and they carried a lot of marks (each question was around 7+ marks each and the total marks was 60).
 For the endsem, the total marks were 100 of which around 20 were theoretical questions and the rest were numericals (which had to be done in the question paper itself).
 The grading was fairly lenient and the prof personally checked all the papers and took up our cribs. Marks heavily depended on the steps used to solve the questions so, even if the final answer was wrong, we would get more than half the marks.",,"Fundamentals of Fluid mechanics: Munson and Donald
 Fluid Mechanics: White",
ME209 - Thermodynamics,Prof. Milind Rane,Easy (JEE-level thermodynamics for most part),"Someone attending lectures might not need self-study of more than 1 hr a week (revision and quiz preparation). Generally speaking, one of the least demanding course of the semester (if Prof. Rane is taking it for you).",None,None. Extremely fundamental course. Starts from scratch. Quite a few follow-up courses though,,"Introduction to thermodynamics, Definitions of energy, work and systems, Zeroth Law, First Law, Ideal gas and other gas laws, Steam and steam tables, First law for open and closed systems, Second Law, Kelvin-Planck and Clausius statements, Carnot theorem, Entropy, Second law for open and closed systems, Combination of first and second laws (Carnot cycle, Rankine cycle), Availability and Exergy",,,,,,
ME209 - Thermodynamics,Prof. Amit Agrawal,Moderate (builds on JEE-level thermodynamics),"Initially, it is easy to cope up with the course without much extra effort although the latter half becomes a little involved. It is required to understand the concepts well through extensive problem solving so as to understand the different types of questions. The homeworks, on an average, are doable and the instructor also solves the common doubts. Emphasis on the latter half of the portion (involving the second law of thermodynamics) would help to score better. On an average, a legitimate (;D) two hours per week apart from the usual class hours would be enough to perform well in the course although it may vary from person to person.",None except pre-decided tutorials (which accounted for the attendance) were graded,None. It is a starter to what comes next in Mechanical Engineering!,,"Introduction to thermodynamics, Definitions of energy, work and systems, Zeroth Law, First Law, Ideal gas and other gas laws, Steam and steam tables, First law for open and closed systems, Second Law, Kelvin-Planck and Clausius statements, Carnot theorem, Entropy, Second law for open and closed systems, Combination of first and second laws (Carnot cycle, Rankine cycle), Availability and Exergy",,,,,,
ME201 - Solid Mechanics,"Prof Parag Tandaiya (till midsem, because of a medical issue) & Prof Tanmay K. Bhandakkar (after midsem)",Moderate,,Not compulsory ; however tutorials were conducted in class and they were a part of the evaluation.,,,,,,Most of the problems are straightforward and based on class notes.,,This is a really interesting course as it introduces mechanics at the differential level and helps us to understand the consideration of different assumptions in solving mechanics problems.,
ME201 - Solid Mechanics,Prof. Krishna Jonnalagadda,Moderate (builds on JEE-level mechanics and some concepts from CE 102),"The time commitment required for the course was quite high. There were 6 quizzes and they were conducted outside class hours(Usually Thursday 9-10 pm). Tutorials and Homeworks were regularly uploaded on moodle. So you had to spend at least an hour for each homework and tutorial in addition to revising the notes/theory. Initially, it is easy to understand the theory, although the concepts in the latter half require more effort. It is required to understand the concepts well through extensive problem solving so as to understand the different types of questions. Two-three hours per week apart from the usual class hours would be enough to perform well in the course although it may vary from person to person.",None. But attendance was used to decide the grades in case your scores were very close to the cut-offs.,None. CE 102 will be helpful. Professor gives a recap of necessary topics from CE 102 for people who havenâ€™t done the course,,"Introduction to deformation of solids, Idealization of constraints and loads for analysis, Equilibrium analysis of trusses, Axial deformation and loads in bars/beams, Statically determinate/indeterminate problems, Forces and moments transmitted under transverse loads (bending of beams), Concept of Stress and equilibrium equations, Concept of strain and compatibility equations, Stress and strain transformations, Constitutive equations (stress-strain relations), plane stress, plane strain and 2D problems (including axisymmetry), Torsion of circular bars, Bending and shear stresses in beams of different cross-sections, Energy Methods, Strain and stored energy concepts, Castiglianoâ€™s first and second theorems",,,,,,
HS101 - Economics,"Prof. K. Narayanan (Microeconomics), Prof. Aditi Chaubal (Macroeconomics)","Moderately difficult course. 
 Reason for the categorisation: the content is very fresh for many students and considering the amount of content which has to be covered, students canâ€™t expect the professor to be taking things slow and nice. No home-work, microeconomics is logical and can be grasped with a decent attention level in class.","The course demands time before examinations. Microeconomics is more relaxed compared to its counterpart, Macroeconomics demands sincere study hours before examinations. End-semester exam covers 100% of the course, the course takes up a significant amount of revision time during the end-semester week, students may find it difficult to cover all of the course content right before the exam.",Institute attendance policy was enforced in the first half of course: microeconomics,None,,Microeconomics:-,,,,,,
EE101 - Introduction to Electrical and Electronic Circuits,Prof. Anil M. Kulkarni,Moderate,"The initial part is fairly easy similar to the Jee stuff. After quiz 1 things become a little involved. The classes are more based on the general theory and the questions require solving skills which are taught only in the tutorials. Being thorough with the tutorial and at least solving them once after the discussion would suffice, although ut may vary from person to person. It is very important to be attentive during the tutorials and ask any doubt that crops up. For the theoretical part pay attention in class and going through the slides once a week for half an hour would help.",Compulsory Attendance,None. It is a very basic level Course,,"The instructor explains concepts well and clears all the doubts but do not expect him to deviate a lot into fancier side-topics. He teaches with quite a good pace. Most of the material is present in slides but if he is writing something on the board do copy it because that may not be present in the slides. Theory, in general, is not very difficult to comprehend but it all boils down to the ability to solve. Therefore, paying attention to the problem-solving and clearing out doubts in tutorials would be beneficial.",,,,,,
ME226 - Mechanical Measurements,Prof. Atul Srivastava,"Quite an easy course, as the name suggests, more focused on numerical aspects which are simple to deal with, but has a good theory background on working of various devices like Op Amps etc. Any average student should be able to do decent enough","Not much time required, revision was required every day since there were surprise quizzes, which takes around 15 min to 1 hour depending on how much taught that day. This helped in reducing the time required towards endsems. Around 3 hours would be sufficient just before endsem, most of it to revise the use of formulae if cheat sheet not provided.","No attendance, only surprise quizzes, but most of the content was on board, and sir was usually reluctant to upload the ppts used.",No prerequisites,,"Basics of measurement and terminologies, Measurement techniques in thermal, fluid, and solid mechanics, their background, and some instruments. Some electronic devices like Op Amps also covered in depth",,,,,,
ME206 - Manufacturing Processes I,"Shyamprasad Karagadde, Sushil Mishra and A. Alankar","Moderately difficult. The course is an introduction to some of the manufacturing processes, and not very rigorous.",4-5 hours per week including lectures,"No DX grade was given. 4% bonus marks were given for attendance >90%, 2% bonus for 80% < attendance < 90%",None,,"Casting, Freeform fabrication, Joining, Powder processing, Forming, Polymers and Composites",,,,,,
